@relation "myrelation"
@attribute txt string
@attribute classatr {positive,negative,neutral}

@data
'MarzhSultanbay @DanaTlegenova Марж не смотрелавот и интересно) столько говорилистыдно смотрет даже((', positive
'@RomanAkimov Все Сборная без центров из НХЛ Дацюк вслед за Малкиным вышел в 1/4 КС Удачи Паша!! Даешь 3ий Стенли! )', positive
'@TabachenkoA @KMAIOROVA болеть не надо лето на дворе почти))) нежный поцелуй тебя спасет??мерсиии иииууу )', positive
'@windyts   Хоолоо х?лээсээр цайны цаг дууслааХодоод хонголзсоор ар ?в?р хангай нийллээ P  Хуралд орчоод хоолоо идхсээр бтал', positive
'PSY  Gentleman  Корея в порядке )))', positive
'а еще фотка где вы с котей спитетакое ощущениечто ты сама себя сфоткала (с) @KazyafkaRitos ФотографКиселёва за что такая подстава? D', positive
'девушка которая смотрелась только что в зеркало отвечайте Я чтоли? D', positive
'За нами бегал какойто волшебный ворон и орошал какимто сказочным гавном (с) МВ конечно же D', positive
'Мне вчера дети сказали умную фразу  Папа конечно хозяин в доме НО МАМА  хозяин папы !!!!!!!!!!!!!)))))))', positive
'НА ЭТОМ МОМЕНТЕ МОЕЙ ПСИХИКЕ ПРИШЁЛ КОНЕЦ D http//tco/JdM2a3SzbT', positive
'Оля будет сидеть дома и готовиться к сессии запомните эти слова Буду писать в тви каждый раз когда она нарушит обещание )', positive
'они большие от них много боли D', positive
'У него проблемы с математикой он умножает 6 на 8 и получает 1240)', positive
'универ гранд отель резорд энд спа вопрос где затариваются люди кторые это придумали?D', positive
'хахахахаха ебааа D (на @YouTube http//tco/oEI7BPUMWk)', positive
'1 @farikus И самой девушки ) RT @DJFateh Конкурс Miss Azerbaijan  это когда букет в руках девушки красивее короны и сертификата', positive
'79263639368 ватсап 89248620059 звонки )))', positive
' Мы тоже отмечали и судя по количеству выпитого за твое здоровье алкоголя ты вообще болеть никогда не будешь ) (К)', positive
' шо менi робити?  прикинся домкратом D Ghryn &amp Evstаf', positive
'Мы бы с вами посоревновались!  Елена Кировна ( Сюрприз про себя)  Мы бы с вами тооожеее!D', positive
'Ашиг сонирхолын з?рчлийн тухай хууль гэж юу гэсэн ?г юм бэ? Г?йээ яахавдээ Х?ний нохой идхээр ??рийн нохой идээ л гж байгаан  ))', positive
'Без йена гексен не гексенD', positive
'вы слышылислышали? нет я пукнула D', positive
'Данил и Кирилл с кем вы сейчас живете?! Поразному А сейчасто с кем?! С мамой И куда она смотрела? А мамы не было ФееееейлD', positive
'за что? за все! эммза это?D (c)Лена)', positive
'Но черный должен стоить дешевле (Я) Продавщица не поняв шутки пошла спрашивать пекаря D #Эстонка', positive
'РАДИУС ПЕРПЕНДИКУЛЯРЕН КАСАТЕЛЬНОЙ! ДЕТИ ВЫ ЗАПОМНИТЕ ЭТО ИЛИ НЕТ?  Нет потому что мы тупые)', positive
'2 раза пересматрела вчера и сегодня фильм! очень классный!) &lt33333333', positive
'35G бэлгийн багцаар 10мин жиргээ уншлаа )', positive
'5тиклассницыу нас сольфеджио у theПуза мы это прозвище лет 7 назад придумалиони сами додумались или это через поколения передается?D', positive
'777 твит для @ozik49 @uyooo @NadyaTratata @iraccoon ) улыбок вам))', positive
') она крутаяя Жалко живет в сибе(', positive
'D наконец то он попал в мои руки) http//tco/qXYC1NtZZo', positive
'?чигд?р анх удаагаа х?л б?мб?г ?зэв Дажг?й ш?? ) bayern гэдэг баг хожиж байлээ', positive
'@133219333121 я тоже в тебя верю!!всё у тебя получится!)))', positive
'@136th мне однажды машину заперли а под стеклом вместо телефона QRкод Я сканировал позвонил и попросил убрать Вот это было модно )', positive
'@1808meow может быть) П это сообщение в почту пришло а в таиттер нет)', positive
'@1Aliya мне мыло в глаз попало D', positive
'@1DBritishdream конечно ) это как читать какуюто книгу ахах интереснопишешь своедальше читаешь', positive
'@1lesha1 вот ты ващще!!!! D я еду по Ростову на квартиру На работу аж к 16', positive
'@1lesha1 так онто и не мужик! Так Гламурный педик )', positive
'@1lesha1 тебе нравятся обтягивающие белые брюки? )', positive
'@22mantle ну точно! ))', positive
